1	1	N3M	NSN	17538	Λῆμμα	λημμα	λημμα	λῆμμα	lh=mma				LH=MMA	LH=MMA
1	1	N2	GSM	9538	λόγου	λογου	λογου	λόγος	lo/goj				LO/GOU	LO/GOS
1	1	N2	GSM	9538	κυρίου	κυριου	κυριου	κύριος	ku/rioj				KURI/OU	KU/RIOS
1	1	P		8	ἐπὶ	ἐπι	επι	ἐπί	e)pi/				E)PI\	E)PI/
1	1	RA	ASM	10	τὸν	τον	τον	ὁ	o(				TO\N	O(
1	1	N	ASM	9474	Ισραηλ	ισραηλ	ισραηλ	Ἰσραήλ	I)srah/l				*ISRAHL	*I)SRAH/L
1	1	P		8	ἐν	ἐν	εν	ἐν	e)n				E)N	E)N
1	1	N3	DSF	13698	χειρὶ	χειρι	χειρι	χείρ	xei/r				XEIRI\	XEI/R
1	1	N2	GSM	9538	ἀγγέλου	ἀγγελου	αγγελου	ἄγγελος	a)/ggeloj				A)GGE/LOU	A)/GGELOS
1	1	RD	GSM	11	αὐτοῦ	αὐτου	αυτου	αὐτός	au)to/j			·	AU)TOU=	AU)TO/S
1	1	VE	AMD2P	899777	θέσθε	θεσθε	θεσθε	τίθημι	ti/qhmi				QE/SQE	TI/QHMI
1	1	X		5	δὴ	δη	δη	δή	dh/				DH\	DH/
1	1	P		8	ἐπὶ	ἐπι	επι	ἐπί	e)pi/				E)PI\	E)PI/
1	1	RA	APF	10	τὰς	τας	τας	ὁ	o(				TA\S	O(
1	1	N1A	APF	14082	καρδίας	καρδιας	καρδιας	καρδία	kardi/a				KARDI/AS	KARDI/A
1	1	RP	GP	13	ὑμῶν	ὑμων	υμων	ὑμῶν	u(mw=n			.	U(MW=N	SU/
1	2	VAI	AAI1S	600705	Ἠγάπησα	ἠγαπησα	ηγαπησα	ἀγαπάω	a)gapa/w				H)GA/PHSA	A)GAPA/W
1	2	RP	AP	13	ὑμᾶς	ὑμας	υμας	ὑμᾶς	u(ma=j			,	U(MA=S	SU/
1	2	V1	PAI3S	631937	λέγει	λεγει	λεγει	λέγω	le/gw				LE/GEI	LE/GW
1	2	N2	NSM	9346	κύριος	κυριος	κυριος	κύριος	ku/rioj			.	KU/RIOS	KU/RIOS
1	2	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
1	2	VAI	AAI2P	895617	εἴπατε	εἰπατε	ειπατε	ἔπω	e)/pw				EI)/PATE	EI)=PON
1	2	P		8	Ἐν	ἐν	εν	ἐν	e)n				E)N	E)N
1	2	RI	DSN	12	τίνι	τινι	τινι	τίς	ti/j				TI/NI	TI/S
1	2	VAI	AAI2S	633473	ἠγάπησας	ἠγαπησας	ηγαπησας	ἀγαπάω	a)gapa/w				H)GA/PHSAS	A)GAPA/W
1	2	RP	AP	13	ἡμᾶς	ἡμας	ημας	ἡμᾶς	h(ma=j			;	H(MA=S	E)GW/
1	2	D		9	οὐκ	οὐκ	ουκ	οὐ	ou)				OU)K	OU)
1	2	N2	NSM	9346	ἀδελφὸς	ἀδελφος	αδελφος	ἀδελφός	a)delfo/j				A)DELFO\S	A)DELFO/S
1	2	V9	IAI3S	632449	ἦν	ἠν	ην	εἰμί	ei)mi/				H)=N	EI)MI/
1	2	N	NSM	9346	Ησαυ	ησαυ	ησαυ	Ἠσαῦ	H)sau=				*HSAU	*HSAU
