1	1	N3I	NSF	13442	Ὅρασις	ὁρασις	ορασις	ὅρασις	o(/rasij			,	O(/RASIS	O(/RASIS
1	1	RR	ASF	14	ἣν	ἡν	ην	ὅς	o(/j				H(\N	O(/S
1	1	VBI	AAI3S	633473	εἶδεν	εἰδεν	ειδεν	ὁράω	o(ra/w				EI)=DEN	O(RA/W
1	1	N	NSM	9346	Ησαιας	ησαιας	ησαιας	Ἡσαΐας	H(sai/:aj				*HSAIAS	*HSAIAS
1	1	N2	NSM	9346	υἱὸς	υἱος	υιος	υἱός	ui(o/j				UI(O\S	UI(O/S
1	1	N	GSM	9538	Αμως	αμως	αμως	Ἀμώς	A)mw/j			,	*AMWS	*AMWS
1	1	RR	ASF	14	ἣν	ἡν	ην	ὅς	o(/j				H(\N	O(/S
1	1	VBI	AAI3S	633473	εἶδεν	εἰδεν	ειδεν	ὁράω	o(ra/w				EI)=DEN	O(RA/W
1	1	D		9	κατὰ	κατα	κατα	κατά	kata/				KATA\	KATA/
1	1	RA	GSF	10	τῆς	της	της	ὁ	o(				TH=S	O(
1	1	N1A	GSF	13634	Ιουδαίας	ιουδαιας	ιουδαιας	Ἰουδαία	I)oudai/a				*IOUDAI/AS	*I)OUDAI/A
1	1	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
1	1	D		9	κατὰ	κατα	κατα	κατά	kata/				KATA\	KATA/
1	1	N	GSF	13634	Ιερουσαλημ	ιερουσαλημ	ιερουσαλημ	Ἱερουσαλήμ	I(erousalh/m				*IEROUSALHM	*I)EROUSALH/M
1	1	P		8	ἐν	ἐν	εν	ἐν	e)n				E)N	E)N
1	1	N1A	DSF	13698	βασιλείᾳ	βασιλεια	βασιλεια	βασιλεία	basilei/a				BASILEI/A|	BASILEI/A
1	1	N1T	GSM	9538	Οζιου	οζιου	οζιου	Ὀζίας	O)zi/aj				*OZIOU	*OZIAS
1	1	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
1	1	N	GSM	9538	Ιωαθαμ	ιωαθαμ	ιωαθαμ	Ἰωάθαμ	I)wa/qam				*IWAQAM	*IWAQAM
1	1	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
1	1	N	GSM	9538	Αχαζ	αχαζ	αχαζ	Ἀχάζ	A)xa/z				*AXAZ	*AXAZ
1	1	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
1	1	N2	GSM	9538	Εζεκιου	εζεκιου	εζεκιου	Ἐζεκίας	E)zeki/aj			,	*EZEKIOU	*EZEKIAS
1	1	RR	NPM	14	οἳ	οἱ	οι	ὅς	o(/j				OI(\	O(/S
1	1	VAI	AAI3P	895617	ἐβασίλευσαν	ἐβασιλευσαν	εβασιλευσαν	βασιλεύω	basileu/w				E)BASI/LEUSAN	BASILEU/W
1	1	RA	GSF	10	τῆς	της	της	ὁ	o(				TH=S	O(
1	1	N1A	GSF	13634	Ιουδαίας	ιουδαιας	ιουδαιας	Ἰουδαία	I)oudai/a			.	*IOUDAI/AS	*I)OUDAI/A
1	2	V1	PAD2S	632001	Ἄκουε	ἀκουε	ακουε	ἀκούω	a)kou/w			,	A)/KOUE	A)KOU/W
1	2	N2	VSM	9410	οὐρανέ	οὐρανε	ουρανε	οὐρανός	ou)rano/j			,	OU)RANE/	OU)RANO/S
1	2	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
1	2	V1	PMD2S	636097	ἐνωτίζου	ἐνωτιζου	ενωτιζου	ἐνωτίζομαι	e)nwti/zomai			,	E)NWTI/ZOU	W)TI/ZOMAI       E)N
1	2	N1	VSF	13506	γῆ	γη	γη	γῆ	gh=			,	GH=	GH=
1	2	C		4	ὅτι	ὁτι	οτι	ὅτι	o(/ti				O(/TI	O(/TI
1	2	N2	NSM	9346	κύριος	κυριος	κυριος	κύριος	ku/rioj				KU/RIOS	KU/RIOS
1	2	VAI	AAI3S	633473	ἐλάλησεν	ἐλαλησεν	ελαλησεν	λαλέω	lale/w			·	E)LA/LHSEN	LALE/W
1	2	N2	APM	9986	υἱοὺς	υἱους	υιους	υἱός	ui(o/j				UI(OU\S	UI(O/S
1	2	VAI	AAI1S	600705	ἐγέννησα	ἐγεννησα	εγεννησα	γεννάω	genna/w				E)GE/NNHSA	GENNA/W
1	2	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
1	2	VA	AAI1S	600705	ὕψωσα	ὑψωσα	υψωσα	ὑψόω	u(yo/w			,	U(/YWSA	U(YO/W
1	2	RD	NPM	11	αὐτοὶ	αὐτοι	αυτοι	αὐτός	au)to/j				AU)TOI\	AU)TO/S
1	2	X		5	δέ	δε	δε	δέ	de/				DE/	DE/
1	2	RP	AS	13	με	με	με	μέ	me/				ME	E)GW/
1	2	VAI	AAI3P	895617	ἠθέτησαν	ἠθετησαν	ηθετησαν	ἀθετέω	a)qete/w			.	H)QE/THSAN	A)QETE/W
1	3	VZI	AAI3S	633473	ἔγνω	ἐγνω	εγνω	γινώσκω	ginw/skw				E)/GNW	GIGNW/SKW
1	3	N3	NSM	9346	βοῦς	βους	βους	βοῦς	bou=j				BOU=S	BOU=S
1	3	RA	ASM	10	τὸν	τον	τον	ὁ	o(				TO\N	O(
1	3	VA	AMPASM	4864961	κτησάμενον	κτησαμενον	κτησαμενον	κτάομαι	kta/omai				KTHSA/MENON	KTA/OMAI
1	3	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
1	3	N2	NSM	9346	ὄνος	ὀνος	ονος	ὄνος	o)/noj				O)/NOS	O)/NOS
1	3	RA	ASF	10	τὴν	την	την	ὁ	o(				TH\N	O(
1	3	N1	ASF	13570	φάτνην	φατνην	φατνην	φάτνη	fa/tnh				FA/TNHN	FA/TNH
1	3	RA	GSM	10	τοῦ	του	του	ὁ	o(				TOU=	O(
1	3	N2	GSM	9538	κυρίου	κυριου	κυριου	κύριος	ku/rioj				KURI/OU	KU/RIOS
1	3	RD	GSM	11	αὐτοῦ	αὐτου	αυτου	αὐτός	au)to/j			·	AU)TOU=	AU)TO/S
1	3	N	NSM	9346	Ισραηλ	ισραηλ	ισραηλ	Ἰσραήλ	I)srah/l				*ISRAHL	*I)SRAH/L
1	3	X		5	δέ	δε	δε	δέ	de/				DE/	DE/
1	3	RP	AS	13	με	με	με	μέ	me/				ME	E)GW/
1	3	D		9	οὐκ	οὐκ	ουκ	οὐ	ou)				OU)K	OU)
1	3	VZI	AAI3S	633473	ἔγνω	ἐγνω	εγνω	γινώσκω	ginw/skw			,	E)/GNW	GIGNW/SKW
1	3	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
1	3	RA	NSM	10	ὁ	ὁ	ο	ὁ	o(				O(	O(
1	3	N2	NSM	9346	λαός	λαος	λαος	λαός	lao/j				LAO/S	LAO/S
1	3	RP	AS	13	με	με	με	μέ	me/				ME	E)GW/
1	3	D		9	οὐ	οὐ	ου	οὐ	ou)				OU)	OU)
1	3	VHI	AAI3S	633473	συνῆκεν	συνηκεν	συνηκεν	συνίημι	suni/hmi			.	SUNH=KEN	I(/HMI           SUN
1	4	I		6	οὐαὶ	οὐαι	ουαι	οὐαί	ou)ai/				OU)AI\	OU)AI/
1	4	N3E	NSN	17538	ἔθνος	ἐθνος	εθνος	ἔθνος	e)/qnoj				E)/QNOS	E)/QNOS
1	4	A1B	NSN	17539	ἁμαρτωλόν	ἁμαρτωλον	αμαρτωλον	ἁμαρτωλός	a(martwlo/j			,	A(MARTWLO/N	A(MARTWLO/S
1	4	N2	NSM	9346	λαὸς	λαος	λαος	λαός	lao/j				LAO\S	LAO/S
1	4	A3H	NSM	9347	πλήρης	πληρης	πληρης	πλήρης	plh/rhj				PLH/RHS	PLH/RHS
1	4	N1A	GPF	14146	ἁμαρτιῶν	ἁμαρτιων	αμαρτιων	ἁμαρτία	a(marti/a			,	A(MARTIW=N	A(MARTI/A
1	4	N3M	NSN	17538	σπέρμα	σπερμα	σπερμα	σπέρμα	spe/rma				SPE/RMA	SPE/RMA
1	4	A1A	NSN	17539	πονηρόν	πονηρον	πονηρον	πονηρός	ponhro/j			,	PONHRO/N	PONHRO/S
1	4	N2	NPM	9858	υἱοὶ	υἱοι	υιοι	υἱός	ui(o/j				UI(OI\	UI(O/S
1	4	A1B	NPM	9859	ἄνομοι	ἀνομοι	ανομοι	ἄνομος	a)/nomoj			·	A)/NOMOI	A)/NOMOS
1	4	VBI	AAI2P	895617	ἐγκατελίπατε	ἐγκατελιπατε	εγκατελιπατε	ἐγκαταλείπω	e)gkatalei/pw				E)GKATELI/PATE	LEI/PW           E)N   KATA
1	4	RA	ASM	10	τὸν	τον	τον	ὁ	o(				TO\N	O(
1	4	N2	ASM	9474	κύριον	κυριον	κυριον	κύριος	ku/rioj				KU/RION	KU/RIOS
