100101	N-	----NSM-	Παῦλος	Παῦλος		Pau=loj
100101	N-	----NSM-	ἀπόστολος	ἀπόστολος		a)po/stoloj
100101	N-	----GSM-	Χριστοῦ	Χριστός		Xristo/j
100101	N-	----GSM-	Ἰησοῦ	Ἰησοῦς		I)hsou=j
100101	P-	--------	διὰ	διά		dia/
100101	N-	----GSN-	θελήματος	θέλημα		qe/lhma
100101	N-	----GSM-	θεοῦ	θεός		qeo/j
100101	RA	----DPM-	τοῖς	ὁ		o(
100101	A-	----DPM-	ἁγίοις	ἅγιος		a(/gioj
100101	RA	----DPM-	τοῖς	ὁ		o(
100101	V-	-PAPDPM-	οὖσιν	εἰμί		ei)mi/
100101	P-	--------	ἐν	ἐν		e)n
100101	N-	----DSF-	Ἐφέσῳ	Ἔφεσος	]	E)/fesoj
100101	C-	--------	καὶ	καί		kai/
100101	A-	----DPM-	πιστοῖς	πιστός		pisto/j
100101	P-	--------	ἐν	ἐν		e)n
100101	N-	----DSM-	Χριστῷ	Χριστός		Xristo/j
100101	N-	----DSM-	Ἰησοῦ	Ἰησοῦς	·	I)hsou=j
100102	N-	----NSF-	χάρις	χάρις		xa/rij
100102	RP	----DP--	ὑμῖν	σύ		su/
100102	C-	--------	καὶ	καί		kai/
100102	N-	----NSF-	εἰρήνη	εἰρήνη		ei)rh/nh
100102	P-	--------	ἀπὸ	ἀπό		a)po/
100102	N-	----GSM-	θεοῦ	θεός		qeo/j
100102	N-	----GSM-	πατρὸς	πατήρ		path/r
100102	RP	----GP--	ἡμῶν	ἐγώ		e)gw/
100102	C-	--------	καὶ	καί		kai/
100102	N-	----GSM-	κυρίου	κύριος		ku/rioj
100102	N-	----GSM-	Ἰησοῦ	Ἰησοῦς		I)hsou=j
100102	N-	----GSM-	Χριστοῦ	Χριστός	.	Xristo/j
100103	A-	----NSM-	Εὐλογητὸς	εὐλογητός		eu)loghto/j
100103	RA	----NSM-	ὁ	ὁ		o(
100103	N-	----NSM-	θεὸς	θεός		qeo/j
100103	C-	--------	καὶ	καί		kai/
100103	N-	----NSM-	πατὴρ	πατήρ		path/r
100103	RA	----GSM-	τοῦ	ὁ		o(
100103	N-	----GSM-	κυρίου	κύριος		ku/rioj
100103	RP	----GP--	ἡμῶν	ἐγώ		e)gw/
100103	N-	----GSM-	Ἰησοῦ	Ἰησοῦς		I)hsou=j
100103	N-	----GSM-	Χριστοῦ	Χριστός	,	Xristo/j
100103	RA	----NSM-	ὁ	ὁ		o(
100103	V-	-AAPNSM-	εὐλογήσας	εὐλογέω		eu)loge/w
100103	RP	----AP--	ἡμᾶς	ἐγώ		e)gw/
100103	P-	--------	ἐν	ἐν		e)n
100103	A-	----DSF-	πάσῃ	πᾶς		pa=j
100103	N-	----DSF-	εὐλογίᾳ	εὐλογία		eu)logi/a
100103	A-	----DSF-	πνευματικῇ	πνευματικός		pneumatiko/j
100103	P-	--------	ἐν	ἐν		e)n
100103	RA	----DPN-	τοῖς	ὁ		o(
100103	A-	----DPN-	ἐπουρανίοις	ἐπουράνιος		e)poura/nioj
100103	P-	--------	ἐν	ἐν		e)n
100103	N-	----DSM-	Χριστῷ	Χριστός	,	Xristo/j
100104	C-	--------	καθὼς	καθώς		kaqw/j
100104	V-	3AMI-S--	ἐξελέξατο	ἐκλέγομαι		e)kle/gomai
100104	RP	----AP--	ἡμᾶς	ἐγώ		e)gw/
100104	P-	--------	ἐν	ἐν		e)n
100104	RP	----DSM-	αὐτῷ	αὐτός		au)to/j
100104	P-	--------	πρὸ	πρό		pro/
100104	N-	----GSF-	καταβολῆς	καταβολή		katabolh/
100104	N-	----GSM-	κόσμου	κόσμος	,	ko/smoj
100104	V-	-PAN----	εἶναι	εἰμί		ei)mi/
100104	RP	----AP--	ἡμᾶς	ἐγώ		e)gw/
100104	A-	----APM-	ἁγίους	ἅγιος		a(/gioj
100104	C-	--------	καὶ	καί		kai/
100104	A-	----APM-	ἀμώμους	ἄμωμος		a)/mwmoj
100104	P-	--------	κατενώπιον	κατενώπιον		katenw/pion
100104	RP	----GSM-	αὐτοῦ	αὐτός		au)to/j
100104	P-	--------	ἐν	ἐν		e)n
100104	N-	----DSF-	ἀγάπῃ	ἀγάπη	,	a)ga/ph
100105	V-	-AAPNSM-	προορίσας	προορίζω		proori/zw
100105	RP	----AP--	ἡμᾶς	ἐγώ		e)gw/
100105	P-	--------	εἰς	εἰς		ei)j
100105	N-	----ASF-	υἱοθεσίαν	υἱοθεσία		ui(oqesi/a
100105	P-	--------	διὰ	διά		dia/
100105	N-	----GSM-	Ἰησοῦ	Ἰησοῦς		I)hsou=j
100105	N-	----GSM-	Χριστοῦ	Χριστός		Xristo/j
100105	P-	--------	εἰς	εἰς		ei)j
100105	RP	----ASM-	αὐτόν	αὐτός	,	au)to/j
100105	P-	--------	κατὰ	κατά		kata/
100105	RA	----ASF-	τὴν	ὁ		o(
100105	N-	----ASF-	εὐδοκίαν	εὐδοκία		eu)doki/a
100105	RA	----GSN-	τοῦ	ὁ		o(
100105	N-	----GSN-	θελήματος	θέλημα		qe/lhma
100105	RP	----GSM-	αὐτοῦ	αὐτός	,	au)to/j
100106	P-	--------	εἰς	εἰς		ei)j
100106	N-	----ASM-	ἔπαινον	ἔπαινος		e)/painoj
100106	N-	----GSF-	δόξης	δόξα		do/ca
100106	RA	----GSF-	τῆς	ὁ		o(
100106	N-	----GSF-	χάριτος	χάρις		xa/rij
100106	RP	----GSM-	αὐτοῦ	αὐτός		au)to/j
100106	RR	----GSF-	ἧς	ὅς		o(/j
100106	V-	3AAI-S--	ἐχαρίτωσεν	χαριτόω		xarito/w
100106	RP	----AP--	ἡμᾶς	ἐγώ		e)gw/
100106	P-	--------	ἐν	ἐν		e)n
100106	RA	----DSM-	τῷ	ὁ		o(
100106	V-	-XPPDSM-	ἠγαπημένῳ	ἀγαπάω	,	a)gapa/w
100107	P-	--------	ἐν	ἐν		e)n
100107	RR	----DSM-	ᾧ	ὅς		o(/j
100107	V-	1PAI-P--	ἔχομεν	ἔχω		e)/xw
100107	RA	----ASF-	τὴν	ὁ		o(
100107	N-	----ASF-	ἀπολύτρωσιν	ἀπολύτρωσις		a)polu/trwsij
100107	P-	--------	διὰ	διά		dia/
100107	RA	----GSN-	τοῦ	ὁ		o(
100107	N-	----GSN-	αἵματος	αἷμα		ai(=ma
100107	RP	----GSM-	αὐτοῦ	αὐτός	,	au)to/j
100107	RA	----ASF-	τὴν	ὁ		o(
100107	N-	----ASF-	ἄφεσιν	ἄφεσις		a)/fesij
100107	RA	----GPN-	τῶν	ὁ		o(
100107	N-	----GPN-	παραπτωμάτων	παράπτωμα	,	para/ptwma
100107	P-	--------	κατὰ	κατά		kata/
100107	RA	----ASN-	τὸ	ὁ		o(
100107	N-	----ASN-	πλοῦτος	πλοῦτος		plou=toj
100107	RA	----GSF-	τῆς	ὁ		o(
100107	N-	----GSF-	χάριτος	χάρις		xa/rij
100107	RP	----GSM-	αὐτοῦ	αὐτός		au)to/j
100108	RR	----GSF-	ἧς	ὅς		o(/j
100108	V-	3AAI-S--	ἐπερίσσευσεν	περισσεύω		perisseu/w
100108	P-	--------	εἰς	εἰς		ei)j
100108	RP	----AP--	ἡμᾶς	ἐγώ		e)gw/
100108	P-	--------	ἐν	ἐν		e)n
100108	A-	----DSF-	πάσῃ	πᾶς		pa=j
100108	N-	----DSF-	σοφίᾳ	σοφία		sofi/a
100108	C-	--------	καὶ	καί		kai/
100108	N-	----DSF-	φρονήσει	φρόνησις		fro/nhsij
100109	V-	-AAPNSM-	γνωρίσας	γνωρίζω		gnwri/zw
100109	RP	----DP--	ἡμῖν	ἐγώ		e)gw/
100109	RA	----ASN-	τὸ	ὁ		o(
100109	N-	----ASN-	μυστήριον	μυστήριον		musth/rion
100109	RA	----GSN-	τοῦ	ὁ		o(
100109	N-	----GSN-	θελήματος	θέλημα		qe/lhma
100109	RP	----GSM-	αὐτοῦ	αὐτός	,	au)to/j
100109	P-	--------	κατὰ	κατά		kata/
100109	RA	----ASF-	τὴν	ὁ		o(
100109	N-	----ASF-	εὐδοκίαν	εὐδοκία		eu)doki/a
100109	RP	----GSM-	αὐτοῦ	αὐτός		au)to/j
100109	RR	----ASF-	ἣν	ὅς		o(/j
100109	V-	3AMI-S--	προέθετο	προτίθεμαι		proti/qemai
100109	P-	--------	ἐν	ἐν		e)n
100109	RP	----DSM-	αὐτῷ	αὐτός		au)to/j
100110	P-	--------	εἰς	εἰς		ei)j
100110	N-	----ASF-	οἰκονομίαν	οἰκονομία		oi)konomi/a
100110	RA	----GSN-	τοῦ	ὁ		o(
100110	N-	----GSN-	πληρώματος	πλήρωμα		plh/rwma
100110	RA	----GPM-	τῶν	ὁ		o(
100110	N-	----GPM-	καιρῶν	καιρός	,	kairo/j
100110	V-	-AMN----	ἀνακεφαλαιώσασθαι	ἀνακεφαλαιόω		a)nakefalaio/w
100110	RA	----APN-	τὰ	ὁ		o(
100110	A-	----APN-	πάντα	πᾶς		pa=j
100110	P-	--------	ἐν	ἐν		e)n
100110	RA	----DSM-	τῷ	ὁ		o(
100110	N-	----DSM-	Χριστῷ	Χριστός	,	Xristo/j
100110	RA	----APN-	τὰ	ὁ		o(
100110	P-	--------	ἐπὶ	ἐπί		e)pi/
100110	RA	----DPM-	τοῖς	ὁ		o(
100110	N-	----DPM-	οὐρανοῖς	οὐρανός		ou)rano/j
100110	C-	--------	καὶ	καί		kai/
100110	RA	----APN-	τὰ	ὁ		o(
100110	P-	--------	ἐπὶ	ἐπί		e)pi/
100110	RA	----GSF-	τῆς	ὁ		o(
100110	N-	----GSF-	γῆς	γῆ	·	gh=
100110	P-	--------	ἐν	ἐν		e)n
100110	RP	----DSM-	αὐτῷ	αὐτός	,	au)to/j
100111	P-	--------	ἐν	ἐν		e)n
100111	RR	----DSM-	ᾧ	ὅς		o(/j
100111	D-	--------	καὶ	καί		kai/
100111	V-	1API-P--	ἐκληρώθημεν	κληρόω		klhro/w
100111	V-	-APPNPM-	προορισθέντες	προορίζω		proori/zw
100111	P-	--------	κατὰ	κατά		kata/
100111	N-	----ASF-	πρόθεσιν	πρόθεσις		pro/qesij
100111	RA	----GSM-	τοῦ	ὁ		o(
100111	RA	----APN-	τὰ	ὁ		o(
100111	A-	----APN-	πάντα	πᾶς		pa=j
100111	V-	-PAPGSM-	ἐνεργοῦντος	ἐνεργέω		e)nerge/w
100111	P-	--------	κατὰ	κατά		kata/
100111	RA	----ASF-	τὴν	ὁ		o(
100111	N-	----ASF-	βουλὴν	βουλή		boulh/
100111	RA	----GSN-	τοῦ	ὁ		o(
100111	N-	----GSN-	θελήματος	θέλημα		qe/lhma
100111	RP	----GSM-	αὐτοῦ	αὐτός	,	au)to/j
100112	P-	--------	εἰς	εἰς		ei)j
100112	RA	----ASN-	τὸ	ὁ		o(
100112	V-	-PAN----	εἶναι	εἰμί		ei)mi/
100112	RP	----AP--	ἡμᾶς	ἐγώ		e)gw/
100112	P-	--------	εἰς	εἰς		ei)j
100112	N-	----ASM-	ἔπαινον	ἔπαινος		e)/painoj
100112	N-	----GSF-	δόξης	δόξα		do/ca
100112	RP	----GSM-	αὐτοῦ	αὐτός		au)to/j
100112	RA	----APM-	τοὺς	ὁ		o(
100112	V-	-XAPAPM-	προηλπικότας	προελπίζω		proelpi/zw
100112	P-	--------	ἐν	ἐν		e)n
100112	RA	----DSM-	τῷ	ὁ		o(
100112	N-	----DSM-	Χριστῷ	Χριστός	·	Xristo/j
100113	P-	--------	ἐν	ἐν		e)n
100113	RR	----DSM-	ᾧ	ὅς		o(/j
100113	D-	--------	καὶ	καί		kai/
100113	RP	----NP--	ὑμεῖς	σύ		su/
100113	V-	-AAPNPM-	ἀκούσαντες	ἀκούω		a)kou/w
100113	RA	----ASM-	τὸν	ὁ		o(
100113	N-	----ASM-	λόγον	λόγος		lo/goj
100113	RA	----GSF-	τῆς	ὁ		o(
100113	N-	----GSF-	ἀληθείας	ἀλήθεια	,	a)lh/qeia
100113	RA	----ASN-	τὸ	ὁ		o(
100113	N-	----ASN-	εὐαγγέλιον	εὐαγγέλιον		eu)agge/lion
100113	RA	----GSF-	τῆς	ὁ		o(
100113	N-	----GSF-	σωτηρίας	σωτηρία		swthri/a
100113	RP	----GP--	ὑμῶν	σύ	,	su/
100113	P-	--------	ἐν	ἐν		e)n
100113	RR	----DSM-	ᾧ	ὅς		o(/j
100113	D-	--------	καὶ	καί		kai/
100113	V-	-AAPNPM-	πιστεύσαντες	πιστεύω		pisteu/w
100113	V-	2API-P--	ἐσφραγίσθητε	σφραγίζω		sfragi/zw
100113	RA	----DSN-	τῷ	ὁ		o(
100113	N-	----DSN-	πνεύματι	πνεῦμα		pneu=ma
100113	RA	----GSF-	τῆς	ὁ		o(
100113	N-	----GSF-	ἐπαγγελίας	ἐπαγγελία		e)paggeli/a
100113	RA	----DSN-	τῷ	ὁ		o(
100113	A-	----DSN-	ἁγίῳ	ἅγιος	,	a(/gioj
100114	RR	----NSN-	ὅ	ὅς		o(/j
100114	V-	3PAI-S--	ἐστιν	εἰμί		ei)mi/
100114	N-	----NSM-	ἀρραβὼν	ἀρραβών		a)rrabw/n
100114	RA	----GSF-	τῆς	ὁ		o(
100114	N-	----GSF-	κληρονομίας	κληρονομία		klhronomi/a
100114	RP	----GP--	ἡμῶν	ἐγώ	,	e)gw/
