120101	N-	----NSM-	Παῦλος	Παῦλος		Pau=loj
120101	N-	----NSM-	ἀπόστολος	ἀπόστολος		a)po/stoloj
120101	N-	----GSM-	Χριστοῦ	Χριστός		Xristo/j
120101	N-	----GSM-	Ἰησοῦ	Ἰησοῦς		I)hsou=j
120101	P-	--------	διὰ	διά		dia/
120101	N-	----GSN-	θελήματος	θέλημα		qe/lhma
120101	N-	----GSM-	θεοῦ	θεός		qeo/j
120101	C-	--------	καὶ	καί		kai/
120101	N-	----NSM-	Τιμόθεος	Τιμόθεος		Timo/qeoj
120101	RA	----NSM-	ὁ	ὁ		o(
120101	N-	----NSM-	ἀδελφὸς	ἀδελφός		a)delfo/j
120102	RA	----DPM-	τοῖς	ὁ		o(
120102	P-	--------	ἐν	ἐν		e)n
120102	N-	----DPF-	Κολοσσαῖς	Κολοσσαί		Kolossai/
120102	A-	----DPM-	ἁγίοις	ἅγιος		a(/gioj
120102	C-	--------	καὶ	καί		kai/
120102	A-	----DPM-	πιστοῖς	πιστός		pisto/j
120102	N-	----DPM-	ἀδελφοῖς	ἀδελφός		a)delfo/j
120102	P-	--------	ἐν	ἐν		e)n
120102	N-	----DSM-	Χριστῷ	Χριστός	·	Xristo/j
120102	N-	----NSF-	χάρις	χάρις		xa/rij
120102	RP	----DP--	ὑμῖν	σύ		su/
120102	C-	--------	καὶ	καί		kai/
120102	N-	----NSF-	εἰρήνη	εἰρήνη		ei)rh/nh
120102	P-	--------	ἀπὸ	ἀπό		a)po/
120102	N-	----GSM-	θεοῦ	θεός		qeo/j
120102	N-	----GSM-	πατρὸς	πατήρ		path/r
120102	RP	----GP--	ἡμῶν	ἐγώ	.	e)gw/
120103	V-	1PAI-P--	Εὐχαριστοῦμεν	εὐχαριστέω		eu)xariste/w
120103	RA	----DSM-	τῷ	ὁ		o(
120103	N-	----DSM-	θεῷ	θεός		qeo/j
120103	N-	----DSM-	πατρὶ	πατήρ		path/r
120103	RA	----GSM-	τοῦ	ὁ		o(
120103	N-	----GSM-	κυρίου	κύριος		ku/rioj
120103	RP	----GP--	ἡμῶν	ἐγώ		e)gw/
120103	N-	----GSM-	Ἰησοῦ	Ἰησοῦς		I)hsou=j
120103	N-	----GSM-	Χριστοῦ	Χριστός		Xristo/j
120103	D-	--------	πάντοτε	πάντοτε		pa/ntote
120103	P-	--------	περὶ	περί		peri/
120103	RP	----GP--	ὑμῶν	σύ		su/
120103	V-	-PMPNPM-	προσευχόμενοι	προσεύχομαι	,	proseu/xomai
120104	V-	-AAPNPM-	ἀκούσαντες	ἀκούω		a)kou/w
120104	RA	----ASF-	τὴν	ὁ		o(
120104	N-	----ASF-	πίστιν	πίστις		pi/stij
120104	RP	----GP--	ὑμῶν	σύ		su/
120104	P-	--------	ἐν	ἐν		e)n
120104	N-	----DSM-	Χριστῷ	Χριστός		Xristo/j
120104	N-	----DSM-	Ἰησοῦ	Ἰησοῦς		I)hsou=j
120104	C-	--------	καὶ	καί		kai/
120104	RA	----ASF-	τὴν	ὁ		o(
120104	N-	----ASF-	ἀγάπην	ἀγάπη		a)ga/ph
120104	RR	----ASF-	ἣν	ὅς		o(/j
120104	V-	2PAI-P--	ἔχετε	ἔχω		e)/xw
120104	P-	--------	εἰς	εἰς		ei)j
