270101	N-	----NSF-	Ἀποκάλυψις	ἀποκάλυψις		a)poka/luyij
270101	N-	----GSM-	Ἰησοῦ	Ἰησοῦς		I)hsou=j
270101	N-	----GSM-	Χριστοῦ	Χριστός	,	Xristo/j
270101	RR	----ASF-	ἣν	ὅς		o(/j
270101	V-	3AAI-S--	ἔδωκεν	δίδωμι		di/dwmi
270101	RP	----DSM-	αὐτῷ	αὐτός		au)to/j
270101	RA	----NSM-	ὁ	ὁ		o(
270101	N-	----NSM-	θεὸς	θεός		qeo/j
270101	V-	-AAN----	δεῖξαι	δείκνυμι		dei/knumi
270101	RA	----DPM-	τοῖς	ὁ		o(
270101	N-	----DPM-	δούλοις	δοῦλος		dou=loj
270101	RP	----GSM-	αὐτοῦ	αὐτός	,	au)to/j
270101	RR	----APN-	ἃ	ὅς		o(/j
270101	V-	3PAI-S--	δεῖ	δέω		de/w
270101	V-	-AMN----	γενέσθαι	γίνομαι		gi/nomai
270101	P-	--------	ἐν	ἐν		e)n
270101	N-	----DSN-	τάχει	τάχος	,	ta/xoj
270101	C-	--------	καὶ	καί		kai/
270101	V-	3AAI-S--	ἐσήμανεν	σημαίνω		shmai/nw
270101	V-	-AAPNSM-	ἀποστείλας	ἀποστέλλω		a)poste/llw
270101	P-	--------	διὰ	διά		dia/
270101	RA	----GSM-	τοῦ	ὁ		o(
270101	N-	----GSM-	ἀγγέλου	ἄγγελος		a)/ggeloj
270101	RP	----GSM-	αὐτοῦ	αὐτός		au)to/j
270101	RA	----DSM-	τῷ	ὁ		o(
270101	N-	----DSM-	δούλῳ	δοῦλος		dou=loj
270101	RP	----GSM-	αὐτοῦ	αὐτός		au)to/j
270101	N-	----DSM-	Ἰωάννῃ	Ἰωάννης	,	I)wa/nnhj
270102	RR	----NSM-	ὃς	ὅς		o(/j
270102	V-	3AAI-S--	ἐμαρτύρησεν	μαρτυρέω		marture/w
270102	RA	----ASM-	τὸν	ὁ		o(
270102	N-	----ASM-	λόγον	λόγος		lo/goj
270102	RA	----GSM-	τοῦ	ὁ		o(
270102	N-	----GSM-	θεοῦ	θεός		qeo/j
270102	C-	--------	καὶ	καί		kai/
270102	RA	----ASF-	τὴν	ὁ		o(
270102	N-	----ASF-	μαρτυρίαν	μαρτυρία		marturi/a
